,CellType,x_global,y_global
embryo1_Pos0_cell381_z2,Lateral plate mesoderm,1642.42953613281,1335.30504882813
embryo1_Pos0_cell382_z2,Mixed mesenchymal mesoderm,1642.60880533854,1352.98848208739
embryo1_Pos0_cell383_z2,Gut tube,1642.82544782366,1357.81525251116
embryo1_Pos0_cell384_z2,Lateral plate mesoderm,1642.75961806748,1350.36409236922
embryo1_Pos0_cell385_z2,Gut tube,1642.79422106846,1356.57926490839
embryo1_Pos0_cell386_z2,Gut tube,1642.76558048817,1358.69744771884
embryo1_Pos0_cell387_z2,Lateral plate mesoderm,1643.38354492188,1345.15040347451
embryo1_Pos0_cell388_z2,Gut tube,1642.75687642313,1359.59332428745
embryo1_Pos0_cell389_z2,Lateral plate mesoderm,1643.19593773819,1338.54314738948
embryo1_Pos0_cell39_z2,Lateral plate mesoderm,1619.38882806434,1356.17167938422
embryo1_Pos0_cell390_z2,Lateral plate mesoderm,1643.24656575521,1341.61706054688
embryo1_Pos0_cell391_z2,Lateral plate mesoderm,1643.81393242555,1349.36501433286
embryo1_Pos0_cell392_z2,Lateral plate mesoderm,1643.4168256078,1340.05245497941
embryo1_Pos0_cell393_z2,Endothelium,1643.4016655816,1355.06822374132
embryo1_Pos0_cell394_z2,Lateral plate mesoderm,1643.57596958705,1346.43050827753
embryo1_Pos0_cell396_z2,Lateral plate mesoderm,1643.7637869132,1347.59890219662
embryo1_Pos0_cell397_z2,Gut tube,1643.3980391653,1357.23011324698
embryo1_Pos0_cell398_z2,Lateral plate mesoderm,1643.61133873981,1350.82155443274
embryo1_Pos0_cell399_z2,Lateral plate mesoderm,1643.96654429147,1339.18493968953
embryo1_Pos0_cell4_z2,Erythroid,1617.78029333763,1336.80445306676
embryo1_Pos0_cell40_z2,Intermediate mesoderm,1619.98602032163,1358.88462118264
embryo1_Pos0_cell400_z2,Lateral plate mesoderm,1643.89575361961,1353.10553457631
embryo1_Pos0_cell401_z2,Gut tube,1643.64793461205,1358.82949177017
embryo1_Pos0_cell402_z2,Gut tube,1643.84826129416,1359.60041256227
embryo1_Pos0_cell403_z2,Lateral plate mesoderm,1644.16199646529,1351.94241817667
embryo1_Pos0_cell404_z2,Endothelium,1643.73901367188,1356.32699110243
embryo1_Pos0_cell405_z2,Lateral plate mesoderm,1644.13450070645,1354.04060941656
embryo1_Pos0_cell406_z2,Lateral plate mesoderm,1644.39428710938,1344.42651367188
embryo1_Pos0_cell407_z2,Lateral plate mesoderm,1644.14972330729,1342.41062825521
embryo1_Pos0_cell408_z2,Lateral plate mesoderm,1644.43293567548,1343.25365005305
embryo1_Pos0_cell409_z2,Lateral plate mesoderm,1644.23856450359,1341.1059135023
embryo1_Pos0_cell410_z2,Haematoendothelial progenitors,1644.38522883235,1355.65932089316
embryo1_Pos0_cell411_z2,Gut tube,1644.11593591743,1357.87227392385
embryo1_Pos0_cell412_z2,Lateral plate mesoderm,1644.74505813104,1345.68657153503
embryo1_Pos0_cell413_z2,Endothelium,1644.40346881041,1357.07541428399
embryo1_Pos0_cell414_z2,Gut tube,1644.83563867187,1359.02804101562
embryo1_Pos0_cell415_z2,Haematoendothelial progenitors,1644.89611710258,1350.92172002378
embryo1_Pos0_cell416_z2,Lateral plate mesoderm,1645.14019497214,1346.70681590881
embryo1_Pos0_cell417_z2,Haematoendothelial progenitors,1645.24752948696,1356.3795436293
embryo1_Pos0_cell418_z2,Lateral plate mesoderm,1645.36954853698,1340.07730462684
embryo1_Pos0_cell419_z2,Lateral plate mesoderm,1645.08912861242,1354.24543478637
